brand,model,link
ac,378_gt,https://auto.ru/cars/ac/378_gt/all
ac,ace,https://auto.ru/cars/ac/ace/all
ac,aceca,https://auto.ru/cars/ac/aceca/all
ac,cobra,https://auto.ru/cars/ac/cobra/all
acura,cl,https://auto.ru/cars/acura/cl/all
acura,csx,https://auto.ru/cars/acura/csx/all
acura,el,https://auto.ru/cars/acura/el/all
acura,ilx,https://auto.ru/cars/acura/ilx/all
acura,integra,https://auto.ru/cars/acura/integra/all
acura,legend,https://auto.ru/cars/acura/legend/all
acura,mdx,https://auto.ru/cars/acura/mdx/all
acura,nsx,https://auto.ru/cars/acura/nsx/all
acura,rdx,https://auto.ru/cars/acura/rdx/all
acura,rl,https://auto.ru/cars/acura/rl/all
acura,rlx,https://auto.ru/cars/acura/rlx/all
acura,rsx,https://auto.ru/cars/acura/rsx/all
acura,slx,https://auto.ru/cars/acura/slx/all
acura,tl,https://auto.ru/cars/acura/tl/all
acura,tlx,https://auto.ru/cars/acura/tlx/all
acura,tsx,https://auto.ru/cars/acura/tsx/all
acura,zdx,https://auto.ru/cars/acura/zdx/all
adler,diplomat,https://auto.ru/cars/adler/diplomat/all
adler,trumpf_junior,https://auto.ru/cars/adler/trumpf_junior/all
alfa_romeo,105_115,https://auto.ru/cars/alfa_romeo/105_115/all
alfa_romeo,145,https://auto.ru/cars/alfa_romeo/145/all
alfa_romeo,146,https://auto.ru/cars/alfa_romeo/146/all
alfa_romeo,147,https://auto.ru/cars/alfa_romeo/147/all
alfa_romeo,155,https://auto.ru/cars/alfa_romeo/155/all
alfa_romeo,156,https://auto.ru/cars/alfa_romeo/156/all
alfa_romeo,159,https://auto.ru/cars/alfa_romeo/159/all
alfa_romeo,164,https://auto.ru/cars/alfa_romeo/164/all
alfa_romeo,166,https://auto.ru/cars/alfa_romeo/166/all
alfa_romeo,1900,https://auto.ru/cars/alfa_romeo/1900/all
alfa_romeo,2600,https://auto.ru/cars/alfa_romeo/2600/all
alfa_romeo,33,https://auto.ru/cars/alfa_romeo/33/all
alfa_romeo,4c,https://auto.ru/cars/alfa_romeo/4c/all
alfa_romeo,6,https://auto.ru/cars/alfa_romeo/6/all
alfa_romeo,6c,https://auto.ru/cars/alfa_romeo/6c/all
alfa_romeo,75,https://auto.ru/cars/alfa_romeo/75/all
alfa_romeo,8c_competizione,https://auto.ru/cars/alfa_romeo/8c_competizione/all
alfa_romeo,90,https://auto.ru/cars/alfa_romeo/90/all
alfa_romeo,alfasud,https://auto.ru/cars/alfa_romeo/alfasud/all
alfa_romeo,alfetta,https://auto.ru/cars/alfa_romeo/alfetta/all
alfa_romeo,arna,https://auto.ru/cars/alfa_romeo/arna/all
alfa_romeo,brera,https://auto.ru/cars/alfa_romeo/brera/all
alfa_romeo,disco_volante,https://auto.ru/cars/alfa_romeo/disco_volante/all
alfa_romeo,giulia,https://auto.ru/cars/alfa_romeo/giulia/all
alfa_romeo,giulietta,https://auto.ru/cars/alfa_romeo/giulietta/all
alfa_romeo,gt,https://auto.ru/cars/alfa_romeo/gt/all
alfa_romeo,gta,https://auto.ru/cars/alfa_romeo/gta/all
alfa_romeo,gtv,https://auto.ru/cars/alfa_romeo/gtv/all
alfa_romeo,mito,https://auto.ru/cars/alfa_romeo/mito/all
alfa_romeo,montreal,https://auto.ru/cars/alfa_romeo/montreal/all
alfa_romeo,rz,https://auto.ru/cars/alfa_romeo/rz/all
alfa_romeo,spider,https://auto.ru/cars/alfa_romeo/spider/all
alfa_romeo,sprint,https://auto.ru/cars/alfa_romeo/sprint/all
alfa_romeo,stelvio,https://auto.ru/cars/alfa_romeo/stelvio/all
alfa_romeo,sz,https://auto.ru/cars/alfa_romeo/sz/all
alpina,b10,https://auto.ru/cars/alpina/b10/all
alpina,b11,https://auto.ru/cars/alpina/b11/all
alpina,b12,https://auto.ru/cars/alpina/b12/all
alpina,b3,https://auto.ru/cars/alpina/b3/all
alpina,b4,https://auto.ru/cars/alpina/b4/all
alpina,b5,https://auto.ru/cars/alpina/b5/all
alpina,b6,https://auto.ru/cars/alpina/b6/all
alpina,b7,https://auto.ru/cars/alpina/b7/all
alpina,b8,https://auto.ru/cars/alpina/b8/all
alpina,b9,https://auto.ru/cars/alpina/b9/all
alpina,c1,https://auto.ru/cars/alpina/c1/all
alpina,c2,https://auto.ru/cars/alpina/c2/all
alpina,d10,https://auto.ru/cars/alpina/d10/all
alpina,d3,https://auto.ru/cars/alpina/d3/all
alpina,d4,https://auto.ru/cars/alpina/d4/all
alpina,d5,https://auto.ru/cars/alpina/d5/all
alpina,roadster,https://auto.ru/cars/alpina/roadster/all
alpina,xd3,https://auto.ru/cars/alpina/xd3/all
alpina,xd4,https://auto.ru/cars/alpina/xd4/all
alpine,a110,https://auto.ru/cars/alpine/a110/all
alpine,a310,https://auto.ru/cars/alpine/a310/all
alpine,a610,https://auto.ru/cars/alpine/a610/all
alpine,gta,https://auto.ru/cars/alpine/gta/all
am_general,humvee,https://auto.ru/cars/am_general/humvee/all
amc,eagle,https://auto.ru/cars/amc/eagle/all
amc,hornet,https://auto.ru/cars/amc/hornet/all
apal,21541,https://auto.ru/cars/apal/21541/all
ariel,atom,https://auto.ru/cars/ariel/atom/all
aro,10,https://auto.ru/cars/aro/10/all
aro,24,https://auto.ru/cars/aro/24/all
asia,retona,https://auto.ru/cars/asia/retona/all
asia,rocsta,https://auto.ru/cars/asia/rocsta/all
asia,topic,https://auto.ru/cars/asia/topic/all
aston_martin,bulldog,https://auto.ru/cars/aston_martin/bulldog/all
aston_martin,cygnet,https://auto.ru/cars/aston_martin/cygnet/all
aston_martin,db_ar_1,https://auto.ru/cars/aston_martin/db_ar_1/all
aston_martin,db11,https://auto.ru/cars/aston_martin/db11/all
aston_martin,db5,https://auto.ru/cars/aston_martin/db5/all
aston_martin,db7,https://auto.ru/cars/aston_martin/db7/all
aston_martin,db9,https://auto.ru/cars/aston_martin/db9/all
aston_martin,dbs,https://auto.ru/cars/aston_martin/dbs/all
aston_martin,dbx,https://auto.ru/cars/aston_martin/dbx/all
aston_martin,lagonda,https://auto.ru/cars/aston_martin/lagonda/all
aston_martin,one_77,https://auto.ru/cars/aston_martin/one_77/all
aston_martin,rapide,https://auto.ru/cars/aston_martin/rapide/all
aston_martin,tickford_capri,https://auto.ru/cars/aston_martin/tickford_capri/all
aston_martin,v12_vantage,https://auto.ru/cars/aston_martin/v12_vantage/all
aston_martin,v12_zagato,https://auto.ru/cars/aston_martin/v12_zagato/all
aston_martin,v8,https://auto.ru/cars/aston_martin/v8/all
aston_martin,v8_zagato,https://auto.ru/cars/aston_martin/v8_zagato/all
aston_martin,v12,https://auto.ru/cars/aston_martin/v12/all
aston_martin,virage,https://auto.ru/cars/aston_martin/virage/all
audi,100,https://auto.ru/cars/audi/100/all
audi,200,https://auto.ru/cars/audi/200/all
audi,50,https://auto.ru/cars/audi/50/all
audi,80,https://auto.ru/cars/audi/80/all
audi,90,https://auto.ru/cars/audi/90/all
audi,920,https://auto.ru/cars/audi/920/all
audi,a1,https://auto.ru/cars/audi/a1/all
audi,a2,https://auto.ru/cars/audi/a2/all
audi,a3,https://auto.ru/cars/audi/a3/all
audi,a4,https://auto.ru/cars/audi/a4/all
audi,a4_allroad,https://auto.ru/cars/audi/a4_allroad/all
audi,a5,https://auto.ru/cars/audi/a5/all
audi,a6,https://auto.ru/cars/audi/a6/all
audi,allroad,https://auto.ru/cars/audi/allroad/all
audi,a7,https://auto.ru/cars/audi/a7/all
audi,a8,https://auto.ru/cars/audi/a8/all
audi,cabriolet,https://auto.ru/cars/audi/cabriolet/all
audi,coupe,https://auto.ru/cars/audi/coupe/all
audi,e_tron,https://auto.ru/cars/audi/e_tron/all
audi,e_tron_sportback,https://auto.ru/cars/audi/e_tron_sportback/all
audi,nsu_ro_80,https://auto.ru/cars/audi/nsu_ro_80/all
audi,q2,https://auto.ru/cars/audi/q2/all
audi,q3,https://auto.ru/cars/audi/q3/all
audi,q3_sportback,https://auto.ru/cars/audi/q3_sportback/all
audi,q5,https://auto.ru/cars/audi/q5/all
audi,q7,https://auto.ru/cars/audi/q7/all
audi,q8,https://auto.ru/cars/audi/q8/all
audi,quattro,https://auto.ru/cars/audi/quattro/all
audi,r8,https://auto.ru/cars/audi/r8/all
audi,r8_lmp,https://auto.ru/cars/audi/r8_lmp/all
audi,rs2,https://auto.ru/cars/audi/rs2/all
audi,rs3,https://auto.ru/cars/audi/rs3/all
audi,rs4,https://auto.ru/cars/audi/rs4/all
audi,rs5,https://auto.ru/cars/audi/rs5/all
audi,rs6,https://auto.ru/cars/audi/rs6/all
audi,rs7,https://auto.ru/cars/audi/rs7/all
audi,rsq3,https://auto.ru/cars/audi/rsq3/all
audi,rs_q3_sportback,https://auto.ru/cars/audi/rs_q3_sportback/all
audi,rs_q8,https://auto.ru/cars/audi/rs_q8/all
audi,s1,https://auto.ru/cars/audi/s1/all
audi,s2,https://auto.ru/cars/audi/s2/all
audi,s3,https://auto.ru/cars/audi/s3/all
audi,s4,https://auto.ru/cars/audi/s4/all
audi,s5,https://auto.ru/cars/audi/s5/all
audi,s6,https://auto.ru/cars/audi/s6/all
audi,s7,https://auto.ru/cars/audi/s7/all
audi,s8,https://auto.ru/cars/audi/s8/all
audi,sq2,https://auto.ru/cars/audi/sq2/all
audi,sq5,https://auto.ru/cars/audi/sq5/all
audi,sq7,https://auto.ru/cars/audi/sq7/all
audi,sq8,https://auto.ru/cars/audi/sq8/all
audi,tt,https://auto.ru/cars/audi/tt/all
audi,tt_rs,https://auto.ru/cars/audi/tt_rs/all
audi,tts,https://auto.ru/cars/audi/tts/all
audi,typ_r,https://auto.ru/cars/audi/typ_r/all
audi,v8,https://auto.ru/cars/audi/v8/all
aurus,senat,https://auto.ru/cars/aurus/senat/all
austin,allegro,https://auto.ru/cars/austin/allegro/all
austin,ambassador,https://auto.ru/cars/austin/ambassador/all
austin,fl2,https://auto.ru/cars/austin/fl2/all
austin,maestro,https://auto.ru/cars/austin/maestro/all
austin,maxi,https://auto.ru/cars/austin/maxi/all
austin,metro,https://auto.ru/cars/austin/metro/all
austin,mini,https://auto.ru/cars/austin/mini/all
austin,montego,https://auto.ru/cars/austin/montego/all
austin,princess,https://auto.ru/cars/austin/princess/all
austin,sprite,https://auto.ru/cars/austin/sprite/all
austin_healey,3000,https://auto.ru/cars/austin_healey/3000/all
autobianchi,a_112,https://auto.ru/cars/autobianchi/a_112/all
baic,a1,https://auto.ru/cars/baic/a1/all
baic,bj_2020,https://auto.ru/cars/baic/bj_2020/all
baic,bj_212,https://auto.ru/cars/baic/bj_212/all
baic,eu260,https://auto.ru/cars/baic/eu260/all
baic,jeep_cherokee_2500,https://auto.ru/cars/baic/jeep_cherokee_2500/all
baic,luba,https://auto.ru/cars/baic/luba/all
bajaj,qute,https://auto.ru/cars/bajaj/qute/all
baltijas_dzips,bd_1322,https://auto.ru/cars/baltijas_dzips/bd_1322/all
batmobile,1989,https://auto.ru/cars/batmobile/1989/all
batmobile,2018,https://auto.ru/cars/batmobile/2018/all
bentley,arnage,https://auto.ru/cars/bentley/arnage/all
bentley,azure,https://auto.ru/cars/bentley/azure/all
bentley,bentayga,https://auto.ru/cars/bentley/bentayga/all
bentley,brooklands,https://auto.ru/cars/bentley/brooklands/all
bentley,continental,https://auto.ru/cars/bentley/continental/all
bentley,continental_flying_spur,https://auto.ru/cars/bentley/continental_flying_spur/all
bentley,continental_gt,https://auto.ru/cars/bentley/continental_gt/all
bentley,eight,https://auto.ru/cars/bentley/eight/all
bentley,flying_spur,https://auto.ru/cars/bentley/flying_spur/all
bentley,mark_vi,https://auto.ru/cars/bentley/mark_vi/all
bentley,mulsanne,https://auto.ru/cars/bentley/mulsanne/all
bentley,r_type,https://auto.ru/cars/bentley/r_type/all
bentley,s,https://auto.ru/cars/bentley/s/all
bentley,t_series,https://auto.ru/cars/bentley/t_series/all
bentley,turbo_r,https://auto.ru/cars/bentley/turbo_r/all
bertone,freeclimber,https://auto.ru/cars/bertone/freeclimber/all
bilenkin,vintage,https://auto.ru/cars/bilenkin/vintage/all
bitter,cd,https://auto.ru/cars/bitter/cd/all
bitter,type_3,https://auto.ru/cars/bitter/type_3/all
bmw,02,https://auto.ru/cars/bmw/02/all
bmw,1er,https://auto.ru/cars/bmw/1er/all
bmw,m1,https://auto.ru/cars/bmw/m1/all
bmw,2er,https://auto.ru/cars/bmw/2er/all
bmw,2activetourer,https://auto.ru/cars/bmw/2activetourer/all
bmw,2grandtourer,https://auto.ru/cars/bmw/2grandtourer/all
bmw,2000_c_cs,https://auto.ru/cars/bmw/2000_c_cs/all
bmw,3er,https://auto.ru/cars/bmw/3er/all
bmw,3_15,https://auto.ru/cars/bmw/3_15/all
bmw,315,https://auto.ru/cars/bmw/315/all
bmw,3200,https://auto.ru/cars/bmw/3200/all
bmw,321,https://auto.ru/cars/bmw/321/all
bmw,326,https://auto.ru/cars/bmw/326/all
bmw,327,https://auto.ru/cars/bmw/327/all
bmw,340,https://auto.ru/cars/bmw/340/all
bmw,4,https://auto.ru/cars/bmw/4/all
bmw,5er,https://auto.ru/cars/bmw/5er/all
bmw,501,https://auto.ru/cars/bmw/501/all
bmw,502,https://auto.ru/cars/bmw/502/all
bmw,503,https://auto.ru/cars/bmw/503/all
