title,price,offer_price,year,distance,engine_type,fuel_type,horse_power,car_type,wheel_type,transmission,color,city,advert,link
Toyota Camry V30,100000,,1990,260000,2.0,Бензин,140,седан,передний,автомат,чёрный,Рязань,,https://auto.ru/cars/used/sale/toyota/camry/1089848916-2a34ec45/
Toyota Camry V30,75000,,1990,300000,2.0,Дизель,91,седан,передний,механика,серый,Раменское,,https://auto.ru/cars/used/sale/toyota/camry/1096445266-111571d5/
Toyota Camry V30,80000,,1990,320000,1.8,Бензин,125,седан,передний,автомат,белый,Тверь,,https://auto.ru/cars/used/sale/toyota/camry/1097024936-8a88419b/
Toyota Camry V30,200000,,1990,300000,2.0,Дизель,91,седан,передний,автомат,серебристый,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1099092762-e5d35b5d/
Toyota Camry  V30 Prominent,135000,,1991,290000,2.5,Бензин,175,седан,передний,автомат,бежевый,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1096063034-d9c6760e/
Toyota Camry V30,150000,,1991,377777,2.0,Бензин,140,седан,передний,автомат,чёрный,Балабаново,,https://auto.ru/cars/used/sale/toyota/camry/1096184216-ea7c599e/
Toyota Camry II (V20),79000,,1991,222222,2.0,Бензин,121,седан,передний,механика,белый,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1084706321-b2208cf9/
Toyota Camry II (V20),80000,,1991,300000,2.0,Бензин,121,седан,передний,автомат,серый,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1097131204-24c2da0e/
Toyota Camry III (XV10),75000,,1991,160000,2.0,Бензин,140,седан,передний,автомат,зелёный,Химки,,https://auto.ru/cars/used/sale/toyota/camry/1098238776-8c22c309/
Toyota Camry III (XV10),115000,,1992,358000,3.0,Бензин,188,универсал 5 дв.,передний,механика,зелёный,Киржач,,https://auto.ru/cars/used/sale/toyota/camry/1098380612-28d7805a/
Toyota Camry III (XV10),200000,,1992,400000,2.2,Бензин,136,седан,передний,механика,голубой,Балашиха,,https://auto.ru/cars/used/sale/toyota/camry/1098946358-70d79815/
Toyota Camry III (XV10),110000,,1992,210000,2.2,Бензин,136,седан,передний,автомат,зелёный,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1098638766-02999e0f/
Toyota Camry V30,85000,,1992,200000,1.8,Бензин,125,седан,передний,автомат,серый,Комсомольск,,https://auto.ru/cars/used/sale/toyota/camry/1098246604-25d96c3e/
Toyota Camry V30,120000,,1992,300000,1.8,Бензин,125,седан,передний,автомат,белый,Владимир,,https://auto.ru/cars/used/sale/toyota/camry/1097795756-58bf8c89/
